departamento,procesos_adjudicados,pct_postor_unico
TUMBES,120,0.36666666666666664
LIMA,3862,0.301657172449508
AMAZONAS,218,0.16055045871559634
AREQUIPA,545,0.14678899082568808
LA LIBERTAD,484,0.1012396694214876
PIURA,405,0.10123456790123457
LAMBAYEQUE,272,0.09926470588235294
CALLAO,220,0.09545454545454546
LORETO,330,0.09393939393939393
AYACUCHO,440,0.07727272727272727
SAN MARTÍN,242,0.06611570247933884
CAJAMARCA,594,0.06565656565656566
MADRE DE DIOS,153,0.058823529411764705
PASCO,177,0.05649717514124294
ICA,232,0.05603448275862069
JUNÍN,627,0.049441786283891544
MOQUEGUA,257,0.04669260700389105
HUÁNUCO,446,0.042600896860986545
ÁNCASH,900,0.042222222222222223
TACNA,228,0.039473684210526314
HUANCAVELICA,272,0.03676470588235294
UCAYALI,278,0.03597122302158273
PUNO,763,0.0327653997378768
CUSCO,1086,0.02302025782688766
APURÍMAC,591,0.015228426395939087
