comprador,procesos_adjudicados,pct_postor_unico
"UNIDAD EJECUTORA 022 \""PROYECTO DE TRANSFORMACIÓN DIGITAL CON EQUIDAD - PROTDE",5,1.0
UNIDAD EJECUTORA 002 CONSERVACION DE BOSQUES,14,1.0
GOBIERNO REGIONAL DE ANCASH - DIRECCION DE RED DE SALUD PACIFICO NORTE,11,1.0
FOMENTO Y GESTIÓN SOSTENIBLE DE LA PRODUCCIÓN FORESTAL EN EL PERÚ,22,1.0
MINAG - PROYECTO ESPECIAL BINACIONAL PUYANGO - TUMBES,6,1.0
MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,7,1.0
ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL,174,0.9540229885057471
INSTITUTO NACIONAL DE CALIDAD - INACAL,7,0.8571428571428571
PROGRAMA SUBSECTORIAL DE IRRIGACIONES - PSI,27,0.8518518518518519
MINISTERIO DE RELACIONES EXTERIORES,56,0.8392857142857143
